0,@help
yiff,https://media.discordapp.net/attachments/400801899957190666/870947797363458048/lucario.png
@everyone,<:Areyouserious:870517634595180574>
<:Areyouserious:870517634595180574>,and I'll **DO IT AGAIN!**
trolls!,https://www.youtube.com/watch?v=dQw4w9WgXcQ
hoi,\n Hi!
invite,https://discord.gg/KG39sSM6CZ
OwO whats dis?,cancer. Thats what you are.
OwO,No.
Dad can I,go ask your mother
Wait till your father hears about this,please no punhishment!
Punish me Daddy,stop it
hi,y̪͟ó̪̭̬u͈͇͔͙̜͈̤̻͚̗r̗e͇̹̱̦̯͟ͅ ͔a̭͇͕͠ͅl̜̪̩l̙̫̥ ̱̘̞͇͘g͓̘͖oi̱͠n̵̻͇͔͕̠̰̠g͙͓̞̜̰ͅ ̙͝to͉͈͓̕ ̟͉d̨͖̠̼̗̹͙͖i̯̩e̞͠!̥͍͈
xD,Y̧̩͍͚̤o̶͖̘̥͖̟̪ͅuṟ̦͢ẹ ́f͈͇͖u̟c̶̰̼̜̞k̺̼͇͇͠ị̣̲̻̠́ṋ̫͉̜̱͓͙g̥ ̯̙͇̹̟̼c̗̥̦͓͍̦͎a͉̹̝̼̳n̮c̞̼͍er̘͉̰̬͔
ayy,LMAO
FML,I know how you feel. I too wish I could die.
Good girl,`*Meows*`
test,I am online.
Who's the admin?,"Tarrabyte, Tarra Sama. He's really nice to most people. Be nice to him and he'll be nice to you! You can ask him anything you want! He doesn't mind!"
"Issy, what are you?",A good girl.
Issy bad dog,NO U
Isabelle needs a bath,"function(msg){uploadFile(msg,'./isabelle/isabelle shocked.png', ';_; no bath for yello dog!')}"
surprised,"function(msg){uploadFile(msg,'./isabelle/isabelle shocked.png')}"
go to horny jail,"function(msg){uploadFile(msg,'./monopoly/horny jail.png')}"
oh daddy,"function(msg){uploadFile(msg,'./audio/oh daddy.wav')}"
Seinfeld,"function(msg){uploadFile(msg,'./audio/seinfeld theme.mp3')}"
shutup,"function(msg){uploadFile(msg,'./audio/shutup.mp3')}"
shut up,@shutup
Pokemon Center,"function(msg){uploadFile(msg,'./audio/Pokemon recovery.mp3')}"
recovery,@Pokemon center
AOL,"function(msg){uploadFile(msg,'./audio/AOL.mp3')}"
<:upsetiss:870517635555659856>,"function(msg){uploadFile(msg,'./DDLC/monika.jpg')}"
